For each of the 4 Channels, results shown are....
Time interval Maximum Aggregated value ADC Count & mV, Minimum Aggregated value ADC Count & mV

Time   Ch  Max ADC    Max mV   Min ADC    Min mV   
    0  ChA    -152         0         0         0   
    4  ChA       0         0         0         0   
    8  ChA       0         0         0         0   
   12  ChA       0         0         0         0   
   16  ChA       0         0         0         0   
   20  ChA       0         0         0         0   
   24  ChA       0         0         0         0   
   28  ChA       0         0         0         0   
   32  ChA       0         0         0         0   
   36  ChA       0         0         0         0   
   40  ChA       0         0         0         0   
   44  ChA       0         0         0         0   
   48  ChA       0         0         0         0   
   52  ChA       0         0         0         0   
   56  ChA       0         0         0         0   
   60  ChA       0         0         0         0   
   64  ChA       0         0         0         0   
   68  ChA       0         0         0         0   
   72  ChA       0         0         0         0   
   76  ChA       0         0         0         0   
   80  ChA       0         0         0         0   
   84  ChA       0         0         0         0   
   88  ChA       0         0         0         0   
   92  ChA       0         0         0         0   
   96  ChA       0         0         0         0   
  100  ChA       0         0         0         0   
  104  ChA       0         0         0         0   
  108  ChA       0         0         0         0   
  112  ChA       0         0         0         0   
  116  ChA       0         0         0         0   
  120  ChA       0         0         0         0   
  124  ChA       0         0         0         0   
  128  ChA    -152         0         0         0   
  132  ChA    -305         0         0         0   
  136  ChA       0         0         0         0   
  140  ChA       0         0         0         0   
  144  ChA       0         0         0         0   
  148  ChA       0         0         0         0   
  152  ChA       0         0         0         0   
  156  ChA       0         0         0         0   
  160  ChA       0         0         0         0   
  164  ChA       0         0         0         0   
  168  ChA       0         0         0         0   
  172  ChA       0         0         0         0   
  176  ChA       0         0         0         0   
  180  ChA    -152         0         0         0   
  184  ChA    -305         0         0         0   
  188  ChA       0         0         0         0   
  192  ChA       0         0         0         0   
  196  ChA       0         0         0         0   
  200  ChA       0         0         0         0   
  204  ChA       0         0         0         0   
  208  ChA       0         0         0         0   
  212  ChA       0         0         0         0   
  216  ChA       0         0         0         0   
  220  ChA       0         0         0         0   
  224  ChA       0         0         0         0   
  228  ChA       0         0         0         0   
  232  ChA       0         0         0         0   
  236  ChA       0         0         0         0   
  240  ChA       0         0         0         0   
  244  ChA       0         0         0         0   
  248  ChA       0         0         0         0   
  252  ChA       0         0         0         0   
  256  ChA    -152         0         0         0   
  260  ChA       0         0         0         0   
  264  ChA       0         0         0         0   
  268  ChA       0         0         0         0   
  272  ChA       0         0         0         0   
  276  ChA    -152         0         0         0   
  280  ChA       0         0         0         0   
  284  ChA       0         0         0         0   
  288  ChA       0         0         0         0   
  292  ChA       0         0         0         0   
  296  ChA    -152         0         0         0   
  300  ChA       0         0         0         0   
  304  ChA       0         0         0         0   
  308  ChA       0         0         0         0   
  312  ChA       0         0         0         0   
  316  ChA       0         0         0         0   
  320  ChA       0         0         0         0   
  324  ChA       0         0         0         0   
  328  ChA       0         0         0         0   
  332  ChA       0         0         0         0   
  336  ChA       0         0         0         0   
  340  ChA       0         0         0         0   
  344  ChA       0         0         0         0   
  348  ChA       0         0         0         0   
  352  ChA       0         0         0         0   
  356  ChA       0         0         0         0   
  360  ChA       0         0         0         0   
  364  ChA       0         0         0         0   
  368  ChA       0         0         0         0   
  372  ChA       0         0         0         0   
  376  ChA       0         0         0         0   
  380  ChA       0         0         0         0   
  384  ChA       0         0         0         0   
  388  ChA       0         0         0         0   
  392  ChA       0         0         0         0   
  396  ChA       0         0         0         0   
  400  ChA    -152         0         0         0   
  404  ChA       0         0         0         0   
  408  ChA       0         0         0         0   
  412  ChA       0         0         0         0   
  416  ChA       0         0         0         0   
  420  ChA       0         0         0         0   
  424  ChA       0         0         0         0   
  428  ChA       0         0         0         0   
  432  ChA       0         0         0         0   
  436  ChA       0         0         0         0   
  440  ChA       0         0         0         0   
  444  ChA       0         0         0         0   
  448  ChA       0         0         0         0   
  452  ChA       0         0         0         0   
  456  ChA       0         0         0         0   
  460  ChA       0         0         0         0   
  464  ChA       0         0         0         0   
  468  ChA       0         0         0         0   
  472  ChA       0         0         0         0   
  476  ChA       0         0         0         0   
  480  ChA       0         0         0         0   
  484  ChA       0         0         0         0   
  488  ChA       0         0         0         0   
  492  ChA       0         0         0         0   
  496  ChA       0         0         0         0   
  500  ChA       0         0         0         0   
  504  ChA    -152         0         0         0   
  508  ChA       0         0         0         0   
  512  ChA       0         0         0         0   
  516  ChA       0         0         0         0   
  520  ChA       0         0         0         0   
  524  ChA       0         0         0         0   
  528  ChA    -152         0         0         0   
  532  ChA       0         0         0         0   
  536  ChA       0         0         0         0   
  540  ChA       0         0         0         0   
  544  ChA    -152         0         0         0   
  548  ChA       0         0         0         0   
  552  ChA       0         0         0         0   
  556  ChA       0         0         0         0   
  560  ChA       0         0         0         0   
  564  ChA       0         0         0         0   
  568  ChA    -152         0         0         0   
  572  ChA       0         0         0         0   
  576  ChA       0         0         0         0   
  580  ChA       0         0         0         0   
  584  ChA       0         0         0         0   
  588  ChA       0         0         0         0   
  592  ChA    -152         0         0         0   
  596  ChA       0         0         0         0   
  600  ChA       0         0         0         0   
  604  ChA       0         0         0         0   
  608  ChA       0         0         0         0   
  612  ChA       0         0         0         0   
  616  ChA       0         0         0         0   
  620  ChA       0         0         0         0   
  624  ChA       0         0         0         0   
  628  ChA       0         0         0         0   
  632  ChA       0         0         0         0   
  636  ChA       0         0         0         0   
  640  ChA       0         0         0         0   
  644  ChA       0         0         0         0   
  648  ChA       0         0         0         0   
  652  ChA       0         0         0         0   
  656  ChA       0         0         0         0   
  660  ChA       0         0         0         0   
  664  ChA       0         0         0         0   
  668  ChA       0         0         0         0   
  672  ChA       0         0         0         0   
  676  ChA       0         0         0         0   
  680  ChA    -152         0         0         0   
  684  ChA       0         0         0         0   
  688  ChA    -152         0         0         0   
  692  ChA       0         0         0         0   
  696  ChA       0         0         0         0   
  700  ChA       0         0         0         0   
  704  ChA       0         0         0         0   
  708  ChA       0         0         0         0   
  712  ChA       0         0         0         0   
  716  ChA       0         0         0         0   
  720  ChA    -152         0         0         0   
  724  ChA       0         0         0         0   
  728  ChA       0         0         0         0   
  732  ChA       0         0         0         0   
  736  ChA       0         0         0         0   
  740  ChA       0         0         0         0   
  744  ChA       0         0         0         0   
  748  ChA       0         0         0         0   
  752  ChA       0         0         0         0   
  756  ChA       0         0         0         0   
  760  ChA       0         0         0         0   
  764  ChA       0         0         0         0   
  768  ChA       0         0         0         0   
  772  ChA       0         0         0         0   
  776  ChA       0         0         0         0   
  780  ChA       0         0         0         0   
  784  ChA       0         0         0         0   
  788  ChA       0         0         0         0   
  792  ChA       0         0         0         0   
  796  ChA       0         0         0         0   
  800  ChA       0         0         0         0   
  804  ChA       0         0         0         0   
  808  ChA       0         0         0         0   
  812  ChA       0         0         0         0   
  816  ChA       0         0         0         0   
  820  ChA       0         0         0         0   
  824  ChA       0         0         0         0   
  828  ChA       0         0         0         0   
  832  ChA    -152         0         0         0   
  836  ChA       0         0         0         0   
  840  ChA       0         0         0         0   
  844  ChA       0         0         0         0   
  848  ChA       0         0         0         0   
  852  ChA       0         0         0         0   
  856  ChA       0         0         0         0   
  860  ChA       0         0         0         0   
  864  ChA       0         0         0         0   
  868  ChA       0         0         0         0   
  872  ChA       0         0         0         0   
  876  ChA       0         0         0         0   
  880  ChA       0         0         0         0   
  884  ChA       0         0         0         0   
  888  ChA       0         0         0         0   
  892  ChA       0         0         0         0   
  896  ChA       0         0         0         0   
  900  ChA    -152         0         0         0   
  904  ChA       0         0         0         0   
  908  ChA       0         0         0         0   
  912  ChA    -152         0         0         0   
  916  ChA       0         0         0         0   
  920  ChA       0         0         0         0   
  924  ChA       0         0         0         0   
  928  ChA       0         0         0         0   
  932  ChA       0         0         0         0   
  936  ChA       0         0         0         0   
  940  ChA       0         0         0         0   
  944  ChA       0         0         0         0   
  948  ChA       0         0         0         0   
  952  ChA       0         0         0         0   
  956  ChA       0         0         0         0   
  960  ChA       0         0         0         0   
  964  ChA       0         0         0         0   
  968  ChA       0         0         0         0   
  972  ChA       0         0         0         0   
  976  ChA    -152         0         0         0   
  980  ChA       0         0         0         0   
  984  ChA       0         0         0         0   
  988  ChA       0         0         0         0   
  992  ChA       0         0         0         0   
  996  ChA       0         0         0         0   
 1000  ChA    -152         0         0         0   
 1004  ChA       0         0         0         0   
 1008  ChA       0         0         0         0   
 1012  ChA       0         0         0         0   
 1016  ChA       0         0         0         0   
 1020  ChA       0         0         0         0   
 1024  ChA       0         0         0         0   
 1028  ChA       0         0         0         0   
 1032  ChA       0         0         0         0   
 1036  ChA       0         0         0         0   
 1040  ChA    -152         0         0         0   
 1044  ChA       0         0         0         0   
 1048  ChA    -152         0         0         0   
 1052  ChA       0         0         0         0   
 1056  ChA       0         0         0         0   
 1060  ChA       0         0         0         0   
 1064  ChA       0         0         0         0   
 1068  ChA       0         0         0         0   
 1072  ChA    -152         0         0         0   
 1076  ChA       0         0         0         0   
 1080  ChA       0         0         0         0   
 1084  ChA       0         0         0         0   
 1088  ChA       0         0         0         0   
 1092  ChA       0         0         0         0   
 1096  ChA    -152         0         0         0   
 1100  ChA       0         0         0         0   
 1104  ChA    -152         0         0         0   
 1108  ChA       0         0         0         0   
 1112  ChA       0         0         0         0   
 1116  ChA       0         0         0         0   
 1120  ChA    -152         0         0         0   
 1124  ChA    -152         0         0         0   
 1128  ChA       0         0         0         0   
 1132  ChA       0         0         0         0   
 1136  ChA       0         0         0         0   
 1140  ChA       0         0         0         0   
 1144  ChA       0         0         0         0   
 1148  ChA       0         0         0         0   
 1152  ChA       0         0         0         0   
 1156  ChA       0         0         0         0   
 1160  ChA    -152         0         0         0   
 1164  ChA       0         0         0         0   
 1168  ChA       0         0         0         0   
 1172  ChA       0         0         0         0   
 1176  ChA    -152         0         0         0   
 1180  ChA       0         0         0         0   
 1184  ChA       0         0         0         0   
 1188  ChA       0         0         0         0   
 1192  ChA       0         0         0         0   
 1196  ChA       0         0         0         0   
 1200  ChA       0         0         0         0   
 1204  ChA       0         0         0         0   
 1208  ChA       0         0         0         0   
 1212  ChA       0         0         0         0   
 1216  ChA       0         0         0         0   
 1220  ChA       0         0         0         0   
 1224  ChA       0         0         0         0   
 1228  ChA       0         0         0         0   
 1232  ChA       0         0         0         0   
 1236  ChA       0         0         0         0   
 1240  ChA       0         0         0         0   
 1244  ChA       0         0         0         0   
 1248  ChA       0         0         0         0   
 1252  ChA       0         0         0         0   
 1256  ChA       0         0         0         0   
 1260  ChA       0         0         0         0   
 1264  ChA       0         0         0         0   
 1268  ChA       0         0         0         0   
 1272  ChA    -305         0         0         0   
 1276  ChA       0         0         0         0   
