For each of the 4 Channels, results shown are....
Time interval Maximum Aggregated value ADC Count & mV, Minimum Aggregated value ADC Count & mV

Time   Ch  Max ADC    Max mV   Min ADC    Min mV   Time   Ch  Max ADC    Max mV   Min ADC    Min mV   Time   Ch  Max ADC    Max mV   Min ADC    Min mV   Time   Ch  Max ADC    Max mV   Min ADC    Min mV   
    0  ChA   -3884      -597         0         0       0  ChB    -129       -19         0         0       0  ChC       0         0         0         0       0  ChD       0         0         0         0   
 1000  ChA   -3884      -597         0         0    1000  ChB    -129       -19         0         0    1000  ChC       0         0         0         0    1000  ChD       0         0         0         0   
 2000  ChA   -3884      -597         0         0    2000  ChB    -259       -39         0         0    2000  ChC       0         0         0         0    2000  ChD       0         0         0         0   
 3000  ChA   -3884      -597         0         0    3000  ChB    -129       -19         0         0    3000  ChC       0         0         0         0    3000  ChD     129        19         0         0   
 4000  ChA   -3884      -597         0         0    4000  ChB    -129       -19         0         0    4000  ChC       0         0         0         0    4000  ChD       0         0         0         0   
 5000  ChA   -3884      -597         0         0    5000  ChB       0         0         0         0    5000  ChC       0         0         0         0    5000  ChD     129        19         0         0   
 6000  ChA   -4013      -617         0         0    6000  ChB       0         0         0         0    6000  ChC       0         0         0         0    6000  ChD     129        19         0         0   
 7000  ChA   -3884      -597         0         0    7000  ChB       0         0         0         0    7000  ChC       0         0         0         0    7000  ChD       0         0         0         0   
 8000  ChA   -3754      -577         0         0    8000  ChB    -259       -39         0         0    8000  ChC       0         0         0         0    8000  ChD     129        19         0         0   
 9000  ChA   -3884      -597         0         0    9000  ChB       0         0         0         0    9000  ChC       0         0         0         0    9000  ChD     129        19         0         0   
10000  ChA   -3754      -577         0         0   10000  ChB    -129       -19         0         0   10000  ChC       0         0         0         0   10000  ChD       0         0         0         0   
11000  ChA   -3754      -577         0         0   11000  ChB    -259       -39         0         0   11000  ChC       0         0         0         0   11000  ChD     129        19         0         0   
12000  ChA   -3884      -597         0         0   12000  ChB    -129       -19         0         0   12000  ChC       0         0         0         0   12000  ChD     129        19         0         0   
13000  ChA   -3754      -577         0         0   13000  ChB       0         0         0         0   13000  ChC       0         0         0         0   13000  ChD     129        19         0         0   
14000  ChA   -3754      -577         0         0   14000  ChB    -129       -19         0         0   14000  ChC       0         0         0         0   14000  ChD       0         0         0         0   
15000  ChA   -3754      -577         0         0   15000  ChB       0         0         0         0   15000  ChC       0         0         0         0   15000  ChD     129        19         0         0   
16000  ChA   -3754      -577         0         0   16000  ChB       0         0         0         0   16000  ChC       0         0         0         0   16000  ChD     129        19         0         0   
17000  ChA   -3625      -557         0         0   17000  ChB    -129       -19         0         0   17000  ChC     129        19         0         0   17000  ChD       0         0         0         0   
18000  ChA   -3754      -577         0         0   18000  ChB       0         0         0         0   18000  ChC     129        19         0         0   18000  ChD     129        19         0         0   
19000  ChA   -3625      -557         0         0   19000  ChB       0         0         0         0   19000  ChC       0         0         0         0   19000  ChD       0         0         0         0   
20000  ChA   -3754      -577         0         0   20000  ChB    -129       -19         0         0   20000  ChC       0         0         0         0   20000  ChD     129        19         0         0   
21000  ChA   -3625      -557         0         0   21000  ChB    -129       -19         0         0   21000  ChC       0         0         0         0   21000  ChD     259        39         0         0   
22000  ChA   -3754      -577         0         0   22000  ChB    -129       -19         0         0   22000  ChC       0         0         0         0   22000  ChD     129        19         0         0   
23000  ChA   -3625      -557         0         0   23000  ChB       0         0         0         0   23000  ChC       0         0         0         0   23000  ChD     129        19         0         0   
24000  ChA   -3625      -557         0         0   24000  ChB       0         0         0         0   24000  ChC       0         0         0         0   24000  ChD     129        19         0         0   
25000  ChA   -3625      -557         0         0   25000  ChB    -129       -19         0         0   25000  ChC       0         0         0         0   25000  ChD     129        19         0         0   
26000  ChA   -3625      -557         0         0   26000  ChB       0         0         0         0   26000  ChC       0         0         0         0   26000  ChD     129        19         0         0   
27000  ChA   -3366      -517         0         0   27000  ChB    -129       -19         0         0   27000  ChC     129        19         0         0   27000  ChD     129        19         0         0   
28000  ChA   -3625      -557         0         0   28000  ChB    -259       -39         0         0   28000  ChC       0         0         0         0   28000  ChD     129        19         0         0   
29000  ChA   -3366      -517         0         0   29000  ChB       0         0         0         0   29000  ChC       0         0         0         0   29000  ChD       0         0         0         0   
30000  ChA   -3366      -517         0         0   30000  ChB    -129       -19         0         0   30000  ChC       0         0         0         0   30000  ChD       0         0         0         0   
31000  ChA   -3496      -537         0         0   31000  ChB       0         0         0         0   31000  ChC       0         0         0         0   31000  ChD     259        39         0         0   
32000  ChA   -3496      -537         0         0   32000  ChB       0         0         0         0   32000  ChC       0         0         0         0   32000  ChD     129        19         0         0   
33000  ChA   -3366      -517         0         0   33000  ChB       0         0         0         0   33000  ChC       0         0         0         0   33000  ChD       0         0         0         0   
